ca.rmen.android.scrumchatter - Installs by user by Android Version for 2013-06-29 - 2019-02-24
,,Metric,Installs by user,Notes
,,Dimension,All Android versions
Period,Date
2013-06-29 - 2019-02-24,2013-06-29,,-
2013-06-29 - 2019-02-24,2013-06-30,,-
2013-06-29 - 2019-02-24,2013-07-01,,-
2013-06-29 - 2019-02-24,2013-07-02,,-
2013-06-29 - 2019-02-24,2013-07-03,,-
2013-06-29 - 2019-02-24,2013-07-04,,-
2013-06-29 - 2019-02-24,2013-07-05,,1
2013-06-29 - 2019-02-24,2013-07-06,,3
2013-06-29 - 2019-02-24,2013-07-07,,-
2013-06-29 - 2019-02-24,2013-07-08,,-
2013-06-29 - 2019-02-24,2013-07-09,,-
2013-06-29 - 2019-02-24,2013-07-10,,-
2013-06-29 - 2019-02-24,2013-07-11,,-
2013-06-29 - 2019-02-24,2013-07-12,,-
2013-06-29 - 2019-02-24,2013-07-13,,-
2013-06-29 - 2019-02-24,2013-07-14,,-
2013-06-29 - 2019-02-24,2013-07-15,,-
2013-06-29 - 2019-02-24,2013-07-16,,-
2013-06-29 - 2019-02-24,2013-07-17,,-
2013-06-29 - 2019-02-24,2013-07-18,,-
2013-06-29 - 2019-02-24,2013-07-19,,-
2013-06-29 - 2019-02-24,2013-07-20,,-
2013-06-29 - 2019-02-24,2013-07-21,,-
2013-06-29 - 2019-02-24,2013-07-22,,1
2013-06-29 - 2019-02-24,2013-07-23,,-
2013-06-29 - 2019-02-24,2013-07-24,,-
2013-06-29 - 2019-02-24,2013-07-25,,1
2013-06-29 - 2019-02-24,2013-07-26,,-
2013-06-29 - 2019-02-24,2013-07-27,,1
2013-06-29 - 2019-02-24,2013-07-28,,-
2013-06-29 - 2019-02-24,2013-07-29,,-
2013-06-29 - 2019-02-24,2013-07-30,,-
2013-06-29 - 2019-02-24,2013-07-31,,1
2013-06-29 - 2019-02-24,2013-08-01,,-
2013-06-29 - 2019-02-24,2013-08-02,,1
2013-06-29 - 2019-02-24,2013-08-03,,-
2013-06-29 - 2019-02-24,2013-08-04,,-
2013-06-29 - 2019-02-24,2013-08-05,,-
2013-06-29 - 2019-02-24,2013-08-06,,-
2013-06-29 - 2019-02-24,2013-08-07,,-
2013-06-29 - 2019-02-24,2013-08-08,,-
2013-06-29 - 2019-02-24,2013-08-09,,-
2013-06-29 - 2019-02-24,2013-08-10,,-
2013-06-29 - 2019-02-24,2013-08-11,,-
2013-06-29 - 2019-02-24,2013-08-12,,-
2013-06-29 - 2019-02-24,2013-08-13,,-
2013-06-29 - 2019-02-24,2013-08-14,,-
2013-06-29 - 2019-02-24,2013-08-15,,-
2013-06-29 - 2019-02-24,2013-08-16,,-
2013-06-29 - 2019-02-24,2013-08-17,,-
2013-06-29 - 2019-02-24,2013-08-18,,-
2013-06-29 - 2019-02-24,2013-08-19,,-
2013-06-29 - 2019-02-24,2013-08-20,,-
2013-06-29 - 2019-02-24,2013-08-21,,1
2013-06-29 - 2019-02-24,2013-08-22,,-
2013-06-29 - 2019-02-24,2013-08-23,,-
2013-06-29 - 2019-02-24,2013-08-24,,-
2013-06-29 - 2019-02-24,2013-08-25,,-
2013-06-29 - 2019-02-24,2013-08-26,,-
2013-06-29 - 2019-02-24,2013-08-27,,-
2013-06-29 - 2019-02-24,2013-08-28,,-
2013-06-29 - 2019-02-24,2013-08-29,,-
2013-06-29 - 2019-02-24,2013-08-30,,1
2013-06-29 - 2019-02-24,2013-08-31,,-
2013-06-29 - 2019-02-24,2013-09-01,,-
2013-06-29 - 2019-02-24,2013-09-02,,1
2013-06-29 - 2019-02-24,2013-09-03,,1
2013-06-29 - 2019-02-24,2013-09-04,,-
2013-06-29 - 2019-02-24,2013-09-05,,-
2013-06-29 - 2019-02-24,2013-09-06,,1
2013-06-29 - 2019-02-24,2013-09-07,,-
2013-06-29 - 2019-02-24,2013-09-08,,-
2013-06-29 - 2019-02-24,2013-09-09,,-
2013-06-29 - 2019-02-24,2013-09-10,,-
2013-06-29 - 2019-02-24,2013-09-11,,-
2013-06-29 - 2019-02-24,2013-09-12,,-
2013-06-29 - 2019-02-24,2013-09-13,,-
2013-06-29 - 2019-02-24,2013-09-14,,1
2013-06-29 - 2019-02-24,2013-09-15,,-
2013-06-29 - 2019-02-24,2013-09-16,,1
2013-06-29 - 2019-02-24,2013-09-17,,-
2013-06-29 - 2019-02-24,2013-09-18,,-
2013-06-29 - 2019-02-24,2013-09-19,,-
2013-06-29 - 2019-02-24,2013-09-20,,-
2013-06-29 - 2019-02-24,2013-09-21,,-
2013-06-29 - 2019-02-24,2013-09-22,,-
2013-06-29 - 2019-02-24,2013-09-23,,-
2013-06-29 - 2019-02-24,2013-09-24,,-
2013-06-29 - 2019-02-24,2013-09-25,,1
2013-06-29 - 2019-02-24,2013-09-26,,-
2013-06-29 - 2019-02-24,2013-09-27,,-
2013-06-29 - 2019-02-24,2013-09-28,,-
2013-06-29 - 2019-02-24,2013-09-29,,1
2013-06-29 - 2019-02-24,2013-09-30,,-
2013-06-29 - 2019-02-24,2013-10-01,,-
2013-06-29 - 2019-02-24,2013-10-02,,-
2013-06-29 - 2019-02-24,2013-10-03,,1
2013-06-29 - 2019-02-24,2013-10-04,,-
2013-06-29 - 2019-02-24,2013-10-05,,-
2013-06-29 - 2019-02-24,2013-10-06,,-
2013-06-29 - 2019-02-24,2013-10-07,,-
2013-06-29 - 2019-02-24,2013-10-08,,-
2013-06-29 - 2019-02-24,2013-10-09,,-
2013-06-29 - 2019-02-24,2013-10-10,,-
2013-06-29 - 2019-02-24,2013-10-11,,-
2013-06-29 - 2019-02-24,2013-10-12,,-
2013-06-29 - 2019-02-24,2013-10-13,,-
2013-06-29 - 2019-02-24,2013-10-14,,-
2013-06-29 - 2019-02-24,2013-10-15,,-
2013-06-29 - 2019-02-24,2013-10-16,,-
2013-06-29 - 2019-02-24,2013-10-17,,1
2013-06-29 - 2019-02-24,2013-10-18,,-
2013-06-29 - 2019-02-24,2013-10-19,,1
2013-06-29 - 2019-02-24,2013-10-20,,-
2013-06-29 - 2019-02-24,2013-10-21,,-
2013-06-29 - 2019-02-24,2013-10-22,,-
2013-06-29 - 2019-02-24,2013-10-23,,-
2013-06-29 - 2019-02-24,2013-10-24,,1
2013-06-29 - 2019-02-24,2013-10-25,,1
2013-06-29 - 2019-02-24,2013-10-26,,-
2013-06-29 - 2019-02-24,2013-10-27,,-
2013-06-29 - 2019-02-24,2013-10-28,,-
2013-06-29 - 2019-02-24,2013-10-29,,-
2013-06-29 - 2019-02-24,2013-10-30,,-
2013-06-29 - 2019-02-24,2013-10-31,,-
2013-06-29 - 2019-02-24,2013-11-01,,-
2013-06-29 - 2019-02-24,2013-11-02,,-
2013-06-29 - 2019-02-24,2013-11-03,,-
2013-06-29 - 2019-02-24,2013-11-04,,1
2013-06-29 - 2019-02-24,2013-11-05,,-
2013-06-29 - 2019-02-24,2013-11-06,,-
2013-06-29 - 2019-02-24,2013-11-07,,-
2013-06-29 - 2019-02-24,2013-11-08,,-
2013-06-29 - 2019-02-24,2013-11-09,,1
2013-06-29 - 2019-02-24,2013-11-10,,2
2013-06-29 - 2019-02-24,2013-11-11,,-
2013-06-29 - 2019-02-24,2013-11-12,,-
2013-06-29 - 2019-02-24,2013-11-13,,1
2013-06-29 - 2019-02-24,2013-11-14,,1
2013-06-29 - 2019-02-24,2013-11-15,,1
2013-06-29 - 2019-02-24,2013-11-16,,-
2013-06-29 - 2019-02-24,2013-11-17,,1
2013-06-29 - 2019-02-24,2013-11-18,,-
2013-06-29 - 2019-02-24,2013-11-19,,-
2013-06-29 - 2019-02-24,2013-11-20,,-
2013-06-29 - 2019-02-24,2013-11-21,,-
2013-06-29 - 2019-02-24,2013-11-22,,-
2013-06-29 - 2019-02-24,2013-11-23,,-
2013-06-29 - 2019-02-24,2013-11-24,,-
2013-06-29 - 2019-02-24,2013-11-25,,2
2013-06-29 - 2019-02-24,2013-11-26,,-
2013-06-29 - 2019-02-24,2013-11-27,,-
2013-06-29 - 2019-02-24,2013-11-28,,-
2013-06-29 - 2019-02-24,2013-11-29,,-
2013-06-29 - 2019-02-24,2013-11-30,,-
2013-06-29 - 2019-02-24,2013-12-01,,-
2013-06-29 - 2019-02-24,2013-12-02,,1
2013-06-29 - 2019-02-24,2013-12-03,,-
2013-06-29 - 2019-02-24,2013-12-04,,-
2013-06-29 - 2019-02-24,2013-12-05,,-
2013-06-29 - 2019-02-24,2013-12-06,,-
2013-06-29 - 2019-02-24,2013-12-07,,-
2013-06-29 - 2019-02-24,2013-12-08,,1
2013-06-29 - 2019-02-24,2013-12-09,,1
2013-06-29 - 2019-02-24,2013-12-10,,-
2013-06-29 - 2019-02-24,2013-12-11,,-
2013-06-29 - 2019-02-24,2013-12-12,,1
2013-06-29 - 2019-02-24,2013-12-13,,-
2013-06-29 - 2019-02-24,2013-12-14,,1
2013-06-29 - 2019-02-24,2013-12-15,,-
2013-06-29 - 2019-02-24,2013-12-16,,-
2013-06-29 - 2019-02-24,2013-12-17,,-
2013-06-29 - 2019-02-24,2013-12-18,,1
2013-06-29 - 2019-02-24,2013-12-19,,-
2013-06-29 - 2019-02-24,2013-12-20,,-
2013-06-29 - 2019-02-24,2013-12-21,,-
2013-06-29 - 2019-02-24,2013-12-22,,1
2013-06-29 - 2019-02-24,2013-12-23,,-
2013-06-29 - 2019-02-24,2013-12-24,,-
2013-06-29 - 2019-02-24,2013-12-25,,1
2013-06-29 - 2019-02-24,2013-12-26,,-
2013-06-29 - 2019-02-24,2013-12-27,,-
2013-06-29 - 2019-02-24,2013-12-28,,-
2013-06-29 - 2019-02-24,2013-12-29,,-
2013-06-29 - 2019-02-24,2013-12-30,,-
2013-06-29 - 2019-02-24,2013-12-31,,-
2013-06-29 - 2019-02-24,2014-01-01,,-
2013-06-29 - 2019-02-24,2014-01-02,,2
2013-06-29 - 2019-02-24,2014-01-03,,-
2013-06-29 - 2019-02-24,2014-01-04,,1
2013-06-29 - 2019-02-24,2014-01-05,,-
2013-06-29 - 2019-02-24,2014-01-06,,-
2013-06-29 - 2019-02-24,2014-01-07,,-
2013-06-29 - 2019-02-24,2014-01-08,,1
2013-06-29 - 2019-02-24,2014-01-09,,-
2013-06-29 - 2019-02-24,2014-01-10,,-
2013-06-29 - 2019-02-24,2014-01-11,,2
2013-06-29 - 2019-02-24,2014-01-12,,-
2013-06-29 - 2019-02-24,2014-01-13,,-
2013-06-29 - 2019-02-24,2014-01-14,,-
2013-06-29 - 2019-02-24,2014-01-15,,1
2013-06-29 - 2019-02-24,2014-01-16,,-
2013-06-29 - 2019-02-24,2014-01-17,,1
2013-06-29 - 2019-02-24,2014-01-18,,1
2013-06-29 - 2019-02-24,2014-01-19,,1
2013-06-29 - 2019-02-24,2014-01-20,,-
2013-06-29 - 2019-02-24,2014-01-21,,-
2013-06-29 - 2019-02-24,2014-01-22,,-
2013-06-29 - 2019-02-24,2014-01-23,,-
2013-06-29 - 2019-02-24,2014-01-24,,1
2013-06-29 - 2019-02-24,2014-01-25,,1
2013-06-29 - 2019-02-24,2014-01-26,,-
2013-06-29 - 2019-02-24,2014-01-27,,-
2013-06-29 - 2019-02-24,2014-01-28,,-
2013-06-29 - 2019-02-24,2014-01-29,,-
2013-06-29 - 2019-02-24,2014-01-30,,-
2013-06-29 - 2019-02-24,2014-01-31,,-
2013-06-29 - 2019-02-24,2014-02-01,,1
2013-06-29 - 2019-02-24,2014-02-02,,-
2013-06-29 - 2019-02-24,2014-02-03,,1
2013-06-29 - 2019-02-24,2014-02-04,,-
2013-06-29 - 2019-02-24,2014-02-05,,-
2013-06-29 - 2019-02-24,2014-02-06,,-
2013-06-29 - 2019-02-24,2014-02-07,,-
2013-06-29 - 2019-02-24,2014-02-08,,1
2013-06-29 - 2019-02-24,2014-02-09,,-
2013-06-29 - 2019-02-24,2014-02-10,,-
2013-06-29 - 2019-02-24,2014-02-11,,1
2013-06-29 - 2019-02-24,2014-02-12,,1
2013-06-29 - 2019-02-24,2014-02-13,,-
2013-06-29 - 2019-02-24,2014-02-14,,1
2013-06-29 - 2019-02-24,2014-02-15,,1
2013-06-29 - 2019-02-24,2014-02-16,,-
2013-06-29 - 2019-02-24,2014-02-17,,2
2013-06-29 - 2019-02-24,2014-02-18,,-
2013-06-29 - 2019-02-24,2014-02-19,,-
2013-06-29 - 2019-02-24,2014-02-20,,2
2013-06-29 - 2019-02-24,2014-02-21,,1
2013-06-29 - 2019-02-24,2014-02-22,,-
2013-06-29 - 2019-02-24,2014-02-23,,1
2013-06-29 - 2019-02-24,2014-02-24,,1
2013-06-29 - 2019-02-24,2014-02-25,,1
2013-06-29 - 2019-02-24,2014-02-26,,-
2013-06-29 - 2019-02-24,2014-02-27,,-
2013-06-29 - 2019-02-24,2014-02-28,,-
2013-06-29 - 2019-02-24,2014-03-01,,-
2013-06-29 - 2019-02-24,2014-03-02,,-
2013-06-29 - 2019-02-24,2014-03-03,,1
2013-06-29 - 2019-02-24,2014-03-04,,1
2013-06-29 - 2019-02-24,2014-03-05,,1
2013-06-29 - 2019-02-24,2014-03-06,,-
2013-06-29 - 2019-02-24,2014-03-07,,-
2013-06-29 - 2019-02-24,2014-03-08,,1
2013-06-29 - 2019-02-24,2014-03-09,,1
2013-06-29 - 2019-02-24,2014-03-10,,2
2013-06-29 - 2019-02-24,2014-03-11,,-
2013-06-29 - 2019-02-24,2014-03-12,,1
2013-06-29 - 2019-02-24,2014-03-13,,-
2013-06-29 - 2019-02-24,2014-03-14,,-
2013-06-29 - 2019-02-24,2014-03-15,,5
